"","location","surveypoint","date","start","end","observers","airtemp","avgwind","maxwind","clouds","watertemp","salinity","tide","habitat","mgmt","bankveg","bankcover","basking","flowstatus","number","logsalinity","logwind"
"1","Arnold","AR1P","6/29/2020","10:50","11:06","Melissa, Sidney",87.5,6,10.9,"Clear",25.2,10.1,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,0,2.31253542384721,1.79175946922805
"2","Arnold","AR1P","6/30/2020","11:32","11:47","Melissa, Sidney",89.2,1.6,2.7,"Clear",30.7,4.1,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,1,1.41098697371026,0.470003629245736
"3","Arnold","AR1P","7/1/2020","9:21","9:36","Melissa, Sidney",82.5,5.8,8.8,"Clear",24.1,11.7,NA,"Borrow Ditch","managed","AG, SAPA",90,"exposed bank",7,1,2.45958884180371,1.75785791755237
"4","Arnold","AR1P","8/10/2020","8:42","8:57","Sidney",68.5,6.2,8.6,"Clear",21.3,7.1,NA,"Borrow Ditch","managed","PHAU, SAPA, ATPR",90,"exposed bank",14,0,1.96009478404727,1.82454929205105
"5","Arnold","AR1P","8/11/2020","10:20","10:35","Melissa",73.2,8.4,11.8,"Clear",21.7,8.4,NA,"Borrow Ditch","managed","ATPR, RASA, GRST",90,"exposed bank",12,0,2.12823170584927,2.12823170584927
"6","Arnold","AR1P","8/12/2020","12:16","12:31","Sidney",83.7,5.8,7.7,"Clear",25,8.1,NA,"Borrow Ditch","managed","RASA, SAPA, DISP",90,"exposed bank",14,0,2.09186406167839,1.75785791755237
"7","Arnold","AR1S","6/29/2020","10:50","11:06","Melissa, Sidney",87.5,6,10.9,"Clear",21.5,4,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",16,0,1.38629436111989,1.79175946922805
"8","Arnold","AR1S","6/30/2020","11:32","11:47","Melissa, Sidney",89.2,1.6,2.7,"Clear",22.4,10.8,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",16,0,2.37954613413017,0.470003629245736
"9","Arnold","AR1S","7/1/2020","9:21","9:36","Melissa, Sidney",82.5,5.8,8.8,"Clear",21.7,4,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",11,0,1.38629436111989,1.75785791755237
"10","Arnold","AR1S","8/10/2020","8:42","8:57","Melissa",68.5,6.2,8.6,"Clear",21.8,6.9,"LOOKUP","Minor Slough","tidal","SCAC, SCAM, CASE",100,"banks",14,0,1.93152141160321,1.82454929205105
"11","Arnold","AR1S","8/11/2020","10:20","10:35","Sidney",73.2,8.4,11.8,"Clear",21.6,6.1,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",17,0,1.80828877117927,2.12823170584927
"12","Arnold","AR1S","8/12/2020","12:16","12:31","Melissa",83.7,5.8,7.7,"Clear",22.1,6.9,"LOOKUP","Minor Slough","tidal","SCAC, CASE",100,"banks",17,0,1.93152141160321,1.75785791755237
"13","Arnold","AR2","6/29/2020","11:17","11:32","Melissa, Sidney",84.7,4,6.2,"Clear",25.2,10.1,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,2.31253542384721,1.38629436111989
"14","Arnold","AR2","6/30/2020","11:08","11:23","Melissa, Sidney",90.9,1.9,3.2,"Clear",30.7,4.1,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,1.41098697371026,0.641853886172395
"15","Arnold","AR2","7/1/2020","8:57","9:12","Melissa, Sidney",69.5,4.9,8.5,"Clear",22.2,3.8,NA,"Borrow Ditch","managed","SCAC, ATPR",90,"exposed bank",7,0,1.33500106673234,1.58923520511658
"16","Arnold","AR2","8/10/2020","9:07","9:22","Sidney",70.9,4.6,8,"Clear",21.3,7.1,NA,"Borrow Ditch","managed","SCAC, SAPA, RASA, ATPR",90,"exposed bank",13,0,1.96009478404727,1.52605630349505
"17","Arnold","AR2","8/11/2020","10:41","10:56","Melissa",74,4.4,9.7,"Clear",21.7,8.4,NA,"Borrow Ditch","managed","SCAC, SAPA, RASA, ATPR",90,"exposed bank",10,0,2.12823170584927,1.48160454092422
"18","Arnold","AR2","8/12/2020","11:57","12:12","Sidney",77.8,4.6,7.2,"Clear",25,8.1,NA,"Borrow Ditch","managed","SCAC, SAPA, RASA, ATPR",90,"exposed bank",14,0,2.09186406167839,1.52605630349505
"19","Blacklock","BL1","6/29/2020","11:17","11:32","Melissa, Sidney",84.7,4,6.2,"Clear",21.4,4,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",16,0,1.38629436111989,1.38629436111989
"20","Blacklock","BL1","6/30/2020","11:08","11:23","Melissa, Sidney",90.9,1.9,3.2,"Clear",21.9,3.9,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",16,0,1.3609765531356,0.641853886172395
"21","Blacklock","BL1","7/1/2020","8:57","9:12","Melissa, Sidney",69.5,4.9,8.5,"Clear",21.4,4,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",16,0,1.38629436111989,1.58923520511658
"22","Blacklock","BL1","8/10/2020","9:07","9:22","Melissa",70.9,4.6,8,"Clear",22.3,6.9,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",13,0,1.93152141160321,1.52605630349505
"23","Blacklock","BL1","8/11/2020","10:41","10:56","Sidney",74,4.4,9.7,"Clear",21,7.1,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",15,0,1.96009478404727,1.48160454092422
"24","Blacklock","BL1","8/12/2020","11:57","12:13","Melissa",77.8,4.6,7.2,"Clear",21.8,6.9,"LOOKUP","Tidal","tidal","PHAU, blackberry",100,"downed tule",15,0,1.93152141160321,1.52605630349505
"25","Bradmoor Island","BM1","6/29/2020","12:28","12:44","Melissa, Sidney",86.2,2.8,5.4,"Clear",21.9,4,NA,"Pond","managed","SCAC, PHAU",100,"none",15,0,1.38629436111989,1.02961941718116
"26","Bradmoor Island","BM1","6/30/2020","10:26","10:41","Melissa, Sidney",91.5,1.6,2.7,"Clear",21.7,4.1,NA,"Pond","managed","SCAC, PHAU",100,"none",15,1,1.41098697371026,0.470003629245736
"27","Bradmoor Island","BM1","7/1/2020","10:52","11:07","Melissa, Sidney",85.8,2.1,4.2,"Clear",24.1,4.2,NA,"Pond","managed","SCAC, PHAU",100,"none",15,0,1.43508452528932,0.741937344729377
"28","Bradmoor Island","BM1","8/10/2020","10:37","10:53","Melissa, Sidney",83.5,3.4,7.6,"Clear",22,7.3,NA,"Pond","managed","SCAC, PHAU",100,"none",15,0,1.98787434815435,1.22377543162212
"29","Bradmoor Island","BM1","8/11/2020","11:36","11:51","Melissa, Sidney",70,10,13.2,"Clear",21.8,7.3,NA,"Pond","managed","SCAC, PHAU",100,"none",15,0,1.98787434815435,2.30258509299405
"30","Bradmoor Island","BM1","8/12/2020","10:14","10:29","Melissa, Sidney",71.3,3.4,6.6,"Clear",19.7,7.1,NA,"Pond","managed","SCAC, PHAU",100,"none",15,0,1.96009478404727,1.22377543162212
"31","Bradmoor Island","BM2","6/29/2020","13:02","13:17","Melissa, Sidney",86.5,0.6,7.2,"Clear",22.6,3.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",16,4,1.3609765531356,-0.510825623765991
"32","Bradmoor Island","BM2","6/30/2020","9:58","10:13","Melissa, Sidney",86.8,3.3,4,"Clear",20.4,4,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",16,8,1.38629436111989,1.19392246847243
"33","Bradmoor Island","BM2","7/1/2020","10:25","10:40","Melissa, Sidney",88.5,3.8,5.8,"Clear",22.2,3.8,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",16,4,1.33500106673234,1.33500106673234
"34","Bradmoor Island","BM2","8/10/2020","10:12","10:27","Melissa, Sidney",83.6,5.8,9.3,"Clear",22.5,6.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",13,1,1.93152141160321,1.75785791755237
"35","Bradmoor Island","BM2","8/11/2020","12:04","12:19","Melissa, Sidney",73.8,9.2,11.4,"Clear",21.8,6.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",13,4,1.93152141160321,2.21920348405499
"36","Bradmoor Island","BM2","8/12/2020","10:40","10:55","Melissa, Sidney",70.2,5.4,7.6,"Clear",21,6.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",13,6,1.93152141160321,1.68639895357023
"37","Bradmoor Island","BM3","6/29/2020","13:41","14:56","Melissa, Sidney",90.2,3.9,6,"Clear",22.9,3.7,NA,"Borrow Ditch","managed","PHAU, DISP, Typha, Radish",100,"none",14,1,1.30833281965018,1.3609765531356
"38","Bradmoor Island","BM3","6/30/2020","9:33","9:49","Melissa, Sidney",88,0.7,1.2,"Clear",19.7,3.7,NA,"Borrow Ditch","managed","PHAU, DISP, Typha, Radish",100,"none",14,1,1.30833281965018,-0.356674943938732
"39","Bradmoor Island","BM3","7/1/2020","10:01","10:16","Melissa, Sidney",71.7,3.8,6.6,"Clear",19.9,3.7,NA,"Borrow Ditch","managed","PHAU, DISP, Typha, Radish",100,"none",14,1,1.30833281965018,1.33500106673234
"40","Bradmoor Island","BM3","8/10/2020","9:43","9:58","Melissa, Sidney",79.2,6,10,"Clear",19.8,6.8,NA,"Borrow Ditch","managed","PHAU, Typha, DISP, BOMA",100,"none",15,0,1.91692261218206,1.79175946922805
"41","Bradmoor Island","BM3","8/11/2020","12:27","12:42","Melissa, Sidney",80.3,6.5,10.1,"Clear",21.1,6.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",15,0,1.93152141160321,1.87180217690159
"42","Bradmoor Island","BM3","8/12/2020","11:03","11:18","Melissa, Sidney",74.1,4.2,6.1,"Clear",19.8,6.6,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",15,0,1.88706964903238,1.43508452528932
"43","Bradmoor Island","BM4","6/29/2020","14:07","14:22","Melissa, Sidney",93,5.4,8.9,"Clear",24.1,3.8,NA,"Borrow Ditch","managed","DISP, Typha, SCAC",100,"none",16,0,1.33500106673234,1.68639895357023
"44","Bradmoor Island","BM4","6/30/2020","9:09","9:24","Melissa, Sidney",88.8,1,1.4,"Clear",22,3.8,NA,"Borrow Ditch","managed","DISP, Typha, SCAC",100,"none",16,3,1.33500106673234,0
"45","Bradmoor Island","BM4","7/1/2020","11:24","11:39","Melissa, Sidney",85.8,3.2,4.7,"Clear",23.6,4,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",16,1,1.38629436111989,1.16315080980568
"46","Bradmoor Island","BM4","8/10/2020","11:28","11:43","Melissa, Sidney",79.1,6.6,10,"Clear",23.9,6.9,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",11,2,1.93152141160321,1.88706964903238
"47","Bradmoor Island","BM4","8/11/2020","11:14","11:29","Melissa, Sidney",70.3,10.3,15.4,"Clear",21.9,7,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",11,1,1.94591014905531,2.33214389523559
"48","Bradmoor Island","BM4","8/12/2020","11:24","11:39","Melissa, Sidney",73.4,5.1,7.7,"Clear",21.7,7.1,NA,"Borrow Ditch","managed","SCAC, PHAU",100,"none",11,0,1.96009478404727,1.62924053973028
"49","Cutoff Slough","CO1","7/6/2020","13:19","13:34","Melissa",82,13.7,16.9,"Clear",22.3,5.3,"LOOKUP","Minor Slough","tidal","SCAC, PHAU",100,"banks",15,0,1.66770682055808,2.61739583283408
"50","Cutoff Slough","CO1","7/7/2020","14:36","14:51","Melissa, Sidney",90.2,4.4,6.9,"Clear",22.6,5.5,"LOOKUP","Minor Slough","tidal","SCAC, PHAU",100,"banks",18,0,1.70474809223843,1.48160454092422
"51","Cutoff Slough","CO1","7/8/2020","13:24","13:39","Melissa, Sidney",84.9,8,10.6,"Clear",22.9,5.3,"Flood","Minor Slough","tidal","SCAC, PHAU",100,"banks",11,0,1.66770682055808,2.07944154167984
"52","Cutoff Slough","CO2","7/6/2020","12:45","13:00","Melissa",85.5,8,9.9,"Clear",22.5,5.2,"LOOKUP","Minor Slough","tidal","SCAC",100,"tule rafts, exposed banks",11,0,1.64865862558738,2.07944154167984
"53","Cutoff Slough","CO2","7/7/2020","9:59","10:14","Sidney",74.3,3.8,5.5,"Clear",22.1,5.5,"LOOKUP","Minor Slough","tidal","SCAC",100,"tule rafts, exposed banks",12,0,1.70474809223843,1.33500106673234
"54","Cutoff Slough","CO2","7/8/2020","15:21","15:35","Melissa",91.3,4.6,8,"Clear",23,5.3,"LOOKUP","Minor Slough","tidal","SCAC",100,"tule rafts, exposed banks",18,0,1.66770682055808,1.52605630349505
"55","Crescent Unit","CR1","6/25/2020","9:08","9:23","Melissa, Sidney",75.5,5.9,7.7,"Clear",19.8,18.7,NA,"Pond","managed","SAPA",90,"none",14,0,2.92852352386054,1.77495235091167
"56","Crescent Unit","CR1","6/26/2020","14:13","14:28","Melissa, Sidney",93.5,7.2,11.4,"Clear",26,19.5,NA,"Pond","managed","SAPA",90,"none",14,0,2.9704144655697,1.97408102602201
"57","Crescent Unit","CR2A","6/24/2020","14:55","15:10","Melissa, Sidney",88,4.2,6.5,"Clear",25.3,4.4,NA,"Borrow Ditch","managed","FRSA, DISP",90,"none",14,0,1.48160454092422,1.43508452528932
"58","Crescent Unit","CR2A","6/25/2020","8:40","8:55","Melissa, Sidney",87,4.2,7.6,"Clear",22.6,4.6,NA,"Borrow Ditch","managed","SCAC",90,"algae, floating tules",14,1,1.52605630349505,1.43508452528932
"59","Crescent Unit","CR2A","6/26/2020","13:49","14:06","Melissa, Sidney",92.3,5.6,7.8,"Clear",24.7,4.5,NA,"Borrow Ditch","managed","SCAC",90,"algae, floating tules",14,1,1.50407739677627,1.7227665977411
"60","Crescent Unit","CR2A","8/3/2020","14:58","15:13","Melissa, Sidney",92.8,12,14.9,"Clear",25,8.4,NA,"Borrow Ditch","managed","DISP, BOMA, FRSA",100,"downed tules",14,0,2.12823170584927,2.484906649788
"61","Crescent Unit","CR2A","8/4/2020","12:38","12:52","Melissa, Sidney",81,6.4,8.3,"Clear",24.5,8.9,NA,"Borrow Ditch","managed","DISP, BOMA, FRSA",100,"downed tules",14,0,2.18605127673809,1.85629799036563
"62","Crescent Unit","CR2A","8/5/2020","8:23","8:38","Melissa, Sidney",63.5,9.7,11.6,"Overcast",20.3,8.4,NA,"Borrow Ditch","managed","DISP, BOMA, FRSA",100,"downed tules",14,0,2.12823170584927,2.27212588550934
"63","Crescent Unit","CR2B","6/24/2020","14:55","15:10","Melissa, Sidney",88,4.2,6.5,"Clear",24.5,4.2,NA,"Pond","managed","FRSA, DISP",90,"none",14,0,1.43508452528932,1.43508452528932
"64","Crescent Unit","CR2B","6/25/2020","8:40","8:55","Melissa, Sidney",87,4.2,7.6,"Clear",22.6,4.6,NA,"Pond","managed","SCAC",90,"algae, floating tules",14,0,1.52605630349505,1.43508452528932
"65","Crescent Unit","CR2B","6/26/2020","13:49","14:06","Melissa, Sidney",92.3,5.6,7.8,"Clear",24.7,4.5,NA,"Pond","managed","SCAC",90,"algae, floating tules",14,0,1.50407739677627,1.7227665977411
"66","Crescent Unit","CR3A","6/24/2020","15:19","15:34","Melissa, Sidney",93,8.5,11.9,"Clear",26.9,6.3,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,0,1.84054963339749,2.14006616349627
"67","Crescent Unit","CR3A","6/25/2020","8:15","8:30","Melissa, Sidney",71,1.5,2.4,"Clear",22,4.5,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,1,1.50407739677627,0.405465108108164
"68","Crescent Unit","CR3A","6/26/2020","13:23","13:38","Melissa, Sidney",93.1,3.9,5.8,"Clear",25.7,5.1,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,0,1.62924053973028,1.3609765531356
"69","Crescent Unit","CR3A","8/3/2020","14:36","14:51","Melissa, Sidney",96.2,4.1,7.4,"Clear",25.1,8,NA,"Borrow Ditch","managed","FRSA, DISP, Fennel",100,"none",13,0,2.07944154167984,1.41098697371026
"70","Crescent Unit","CR3A","8/4/2020","12:58","13:13","Melissa, Sidney",85.5,7.2,8.8,"Clear",22,8.1,NA,"Borrow Ditch","managed","FRSA, DISP, Fennel",100,"none",13,0,2.09186406167839,1.97408102602201
"71","Crescent Unit","CR3A","8/5/2020","8:43","8:59","Melissa, Sidney",64.3,4.1,6.8,"Overcast",19,8.5,NA,"Borrow Ditch","managed","FRSA, DISP, Fennel",100,"none",13,0,2.14006616349627,1.41098697371026
"72","Crescent Unit","CR3B","6/24/2020","15:19","15:34","Melissa, Sidney",93,8.5,11.9,"Clear",25.1,4.3,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,0,1.45861502269952,2.14006616349627
"73","Crescent Unit","CR3B","6/25/2020","8:15","8:30","Melissa, Sidney",71,1.5,2.4,"Clear",22,4.5,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,0,1.50407739677627,0.405465108108164
"74","Crescent Unit","CR3B","6/26/2020","13:23","13:38","Melissa, Sidney",93.1,3.9,5.8,"Clear",25.7,5.1,NA,"Borrow Ditch","managed","FRSA, SCAM",90,"One board",14,0,1.62924053973028,1.3609765531356
"75","Dutton's Pond","DP1","6/24/2020","8:48","9:03","Melissa, Sidney",62.7,17.5,14.4,"Partly Cloudy",19.4,3.1,NA,"Pond","managed","SCAC, Primrose",90,"Algae",18,0,1.1314021114911,2.86220088092947
"76","Dutton's Pond","DP1","6/25/2020","14:03","14:18","Melissa, Sidney",88,9.8,13.6,"Clear",24.4,3.4,NA,"Pond","managed","SCAC, Primrose",90,"Algae",18,0,1.22377543162212,2.28238238567653
"77","Dutton's Pond","DP1","6/26/2020","12:40","12:55","Melsisa, Sidney",80.3,14.8,17.4,"Clear",22.6,3.3,NA,"Pond","managed","SCAC, Primrose",90,"Algae",18,1,1.19392246847243,2.69462718077007
"78","Dutton's Pond","DP1","7/28/2020","15:16","15:31","Melissa, Sidney",79.3,14.4,17.7,"Clear",22.4,5.3,NA,"Pond","managed","SCAC",90,"algae",16,4,1.66770682055808,2.66722820658195
"79","Dutton's Pond","DP1","7/29/2020","8:21","8:37","Melissa, Sidney",61.2,12,13.5,"Clear",18.8,5.2,NA,"Pond","managed","SCAC",90,"algae",16,7,1.64865862558738,2.484906649788
"80","Dutton's Pond","DP1","7/30/2020","10:39","10:55","Melissa, Sidney",67.3,8.3,12.4,"Clear",19.9,5.2,NA,"Pond","managed","SCAC",95,"algae",16,26,1.64865862558738,2.11625551480255
"81","Dutton's Pond","DP2","6/24/2020","9:21","9:36","Melissa, Sidney",69.2,3.2,7.2,"Clear",22,3.8,NA,"Borrow Ditch","managed","Typha, SCAC, DISP",90,"Aquatic vegetation",18,0,1.33500106673234,1.16315080980568
"82","Dutton's Pond","DP2","6/25/2020","13:34","13:49","Melissa, Sidney",88,5.8,8.8,"Clear",24,4,NA,"Borrow Ditch","managed","Typha, SCAC, DISP",90,"Aquatic vegetation",18,0,1.38629436111989,1.75785791755237
"83","Dutton's Pond","DP2","6/26/2020","12:16","12:31","Melissa, Sidney",83.7,6.4,9.7,"Clear",23,4.3,NA,"Borrow Ditch","managed","Typha, SCAC, DISP",90,"Aquatic vegetation",18,0,1.45861502269952,1.85629799036563
"84","Denverton","DV1","6/29/2020","17:52","18:09","Melissa",85,5,8.8,"Clear",25.8,3.5,NA,"Borrow Ditch","managed","SCAC, Typha",80,"mud bank",10,4,1.25276296849537,1.6094379124341
"85","Denverton","DV1","6/30/2020","7:52","8:07","Melissa",75.2,4.9,6,"Clear",21.4,3.5,NA,"Borrow Ditch","managed","SCAC, Typha",80,"mud bank",10,3,1.25276296849537,1.58923520511658
"86","Denverton","DV1","7/1/2020","7:53","8:08","Sidney",71.2,4.3,5.8,"Clear",21.6,3.5,NA,"Pond","managed","SCAC, Typha",80,"mud bank",10,0,1.25276296849537,1.45861502269952
"87","Denverton","DV2","6/29/2020","18:37","18:52","Melissa",86.4,6.8,11.7,"Clear",25.2,5.1,NA,"Pond","managed","COCO, SCAC, SAPA, DISP",90,"none",14,1,1.62924053973028,1.91692261218206
"88","Denverton","DV2","6/30/2020","7:20","7:35","Sidney",69,3.2,4.8,"Clear",18.1,5.1,NA,"Pond","managed","SCAC, DISP, COCO",40,"mud bank, dead emergent tule",9,4,1.62924053973028,1.16315080980568
"89","Denverton","DV2","7/1/2020","7:28","7:44","Melissa, Sidney",66.3,4.1,8.1,"Clear",19.3,4.6,NA,"Pond","managed","SCAC, DISP, COCO",40,"mud bank, dead emergent tule",9,4,1.52605630349505,1.41098697371026
"90","Denverton","DV3","6/29/2020","19:21","19:36","Melissa",79.6,10.4,12.4,"Clear",24.4,10.3,NA,"Pond","managed","SAPA, POMO, COCO",80,"exposed bank",13,0,2.33214389523559,2.34180580614733
"91","Denverton","DV3","6/30/2020","6:56","7:11","Melissa, Sidney",67,3.2,5.1,"Clear",18.4,10.2,NA,"Pond","managed","SAPA, POMO, COCO",80,"exposed bank",13,0,2.32238772029023,1.16315080980568
"92","Denverton","DV3","7/1/2020","7:06","7:21","Melissa, Sidney",61.9,7.4,9.7,"Clear",19.5,10.5,NA,"Pond","managed","SAPA, POMO, COCO",80,"exposed bank",14,0,2.35137525716348,2.00148000021012
"93","Denverton","DVS1","6/29/2020","18:11","18:27","Melissa",85,9.6,12.8,"Clear",25.7,3.4,"LOOKUP","Minor Slough","tidal","SCAC, PHAU, Typha",100,"none",15,1,1.22377543162212,2.26176309847379
"94","Denverton","DVS1","6/30/2020","7:50","8:05","Sidney",75.2,4.9,6,"Clear",21.6,3.5,"LOOKUP","Minor Slough","tidal","SCAC, DISP",100,"logs",13,0,1.25276296849537,1.58923520511658
"95","Denverton","DVS1","7/1/2020","7:53","8:08","Melissa, Sidney",71.2,4.3,5.8,"Clear",22,3.5,"LOOKUP","Major Slough","tidal","SCAC, DISP",100,"exposed mud bank",10,1,1.25276296849537,1.45861502269952
"96","Denverton","DVS2","6/29/2020","18:54","19:09","Melissa",86.4,7.2,9.8,"Clear",24.4,3.6,"LOOKUP","Major Slough","tidal","SCAC, PHAU",100,"none",16,1,1.28093384546206,1.97408102602201
"97","Denverton","DVS2","6/30/2020","7:20","7:35","Melissa",69,3.2,4.8,"Clear",20.9,3.6,"LOOKUP","Minor Slough","tidal","SCAC, PHAU",100,"none",16,5,1.28093384546206,1.16315080980568
"98","Denverton","DVS2","7/1/2020","7:29","7:44","Sidney",66.3,4.1,8.1,"Clear",21.1,3.8,"LOOKUP","Major Slough","tidal","SCAC, PHAU",100,"none",9,7,1.33500106673234,1.41098697371026
"99","Denverton","DVS3","6/30/2020","8:26","8:41","Melissa",73.9,4.6,5.6,"Clear",21.7,4,"LOOKUP","Major Slough","tidal","SCAC",100,"none",14,2,1.38629436111989,1.52605630349505
