"","location","surveypoint","date","start","end","observers","airtemp","avgwind","maxwind","clouds","watertemp","salinity","tide","habitat","mgmt","bankveg","bankcover","basking","flowstatus","number","logsalinity","logwind"
"100","Denverton","DVS3","7/1/2020","8:24","8:39","Melissa, Sidney",70.8,1.5,4.7,"Clear",19,4.3,"LOOKUP","Major Slough","tidal","SCAC",100,"none",14,3,1.45861502269952,0.405465108108164
"101","Fleetside","FS1","7/28/2020","8:46","9:01","Melissa, Sidney",60.2,7.4,13.9,"Partly Cloudy",18.2,14.1,NA,"Pond","managed","Typha, PHAU, LELA, DISP",100,"SAV",16,0,2.64617479738412,2.00148000021012
"102","Fleetside","FS1","7/29/2020","13:06","13:21","Melissa, Sidney",76.9,9.4,13.8,"Clear",20.5,14.5,NA,"Pond","managed","Typha, PHAU, LELA, DISP",100,"SAV",16,0,2.67414864942653,2.24070968927596
"103","Fleetside","FS1","7/30/2020","13:36","13:51","Melissa, Sidney",76.9,7.7,10.2,"Clear",21.5,14.7,NA,"Pond","managed","Typha, PHAU, LELA, DISP",100,"SAV",16,0,2.68784749378469,2.04122032885964
"104","Fleetside","FS2","7/28/2020","9:13","9:28","Melissa, Sidney",61.4,8.9,14.2,"Partly Cloudy",18.6,14.7,NA,"Pond","managed","Typha, PHAU",98,"SAV",16,0,2.68784749378469,2.18605127673809
"105","Fleetside","FS2","7/29/2020","12:44","12:59","Melissa, Sidney",78.6,7.5,10.5,"Clear",19.5,14.7,NA,"Pond","managed","Typha, PHAU",98,"SAV",16,0,2.68784749378469,2.01490302054226
"106","Fleetside","FS2","7/30/2020","14:42","14:57","Melissa, Sidney",80.8,5.7,10.2,"Clear",21.1,14.9,NA,"Pond","managed","Typha, PHAU",98,"SAV",16,0,2.70136121295141,1.7404661748405
"107","Fleetside","FS3","7/28/2020","9:43","9:58","Melissa, Sidney",62.4,16.5,20.6,"Partly Cloudy",16.9,14,NA,"Pond","managed","Typha, PHAU, DISP, SAPA, BAPI, LELA",100,"SAV, log",15,0,2.63905732961526,2.80336038090653
"108","Fleetside","FS3","7/29/2020","12:12","12:27","Melissa, Sidney",71.6,11.3,14.3,"Clear",19.4,14.3,NA,"Pond","managed","Typha, PHAU, DISP, SAPA, BAPI, LELA",100,"SAV, log",15,0,2.66025953726586,2.42480272571829
"109","Fleetside","FS3","7/30/2020","14:11","14:26","Melissa, Sidney",76.4,12.7,14.4,"Clear",21.5,14.1,NA,"Pond","managed","Typha, PHAU, DISP, SAPA, BAPI, LELA",100,"SAV, log",15,0,2.64617479738412,2.54160199346455
"110","Fleetside","FS4","7/28/2020","10:51","11:06","Melissa, Sidney",60.2,6.2,10.2,"Partly Cloudy",19.4,11.6,NA,"Pond","managed","PHAU, LELA, DISP",80,"exposed banks",16,0,2.45100509811232,1.82454929205105
"111","Fleetside","FS4","7/29/2020","13:44","13:59","Melissa, Sidney",89.1,5.1,8.2,"Clear",21.9,11.4,NA,"Pond","managed","PHAU, LELA, DISP",80,"exposed banks",16,0,2.43361335540045,1.62924053973028
"112","Fleetside","FS4","7/30/2020","13:06","13:21","Melissa, Sidney",78.4,8.4,13,"Clear",20.8,10.9,NA,"Pond","managed","PHAU, LELA, DISP",80,"exposed banks",16,0,2.3887627892351,2.12823170584927
"113","Fleetside","FS5","7/28/2020","11:14","11:29","Melissa, Sidney",69.5,8,11,"Partly Cloudy",20.2,11.4,NA,"Pond","managed","typha, LELA, PHAU",90,"",15,0,2.43361335540045,2.07944154167984
"114","Fleetside","FS5","7/29/2020","14:05","14:20","Melissa, Sidney",85.7,3.2,5.1,"Clear",23,11.2,NA,"Pond","managed","typha, LELA, PHAU",90,"",15,1,2.41591377830105,1.16315080980568
"115","Fleetside","FS5","7/30/2020","12:37","12:52","Melissa, Sidney",74.8,10,12.8,"Clear",21.3,10.7,NA,"Pond","managed","typha, LELA, PHAU",90,"",15,0,2.37024374146786,2.30258509299405
"116","Fleetside","FS6","7/28/2020","11:36","11:51","Melissa, Sidney",80.7,6.4,8.4,"Clear",19.4,13.3,NA,"Borrow Ditch","managed","PHAU, DISP, ATPR",80,"algae",16,0,2.58776403522771,1.85629799036563
"117","Fleetside","FS6","7/29/2020","14:29","14:44","Melissa, Sidney",86.7,6.6,10.2,"Clear",19.9,13.1,NA,"Borrow Ditch","managed","PHAU, DISP, ATPR",80,"algae",16,0,2.57261223020711,1.88706964903238
"118","Fleetside","FS6","7/30/2020","12:13","12:28","Melissa, Sidney",69.9,8.6,12.7,"Clear",20.1,11,NA,"Borrow Ditch","managed","PHAU, DISP, ATPR",80,"algae",16,0,2.39789527279837,2.15176220325946
"119","Fleetside","FS7","7/28/2020","11:58","12:13","Melissa, Sidney",76.5,6.8,11,"Clear",19.9,13.9,NA,"Pond","managed","Typha, SCAC, PHAU",80,"",16,0,2.63188884013665,1.91692261218206
"120","Fleetside","FS7","7/29/2020","14:50","15:05","Melissa, Sidney",89.4,5.7,8.7,"Clear",20.1,14.2,NA,"Pond","managed","Typha, SCAC, PHAU",80,"",16,0,2.65324196460721,1.7404661748405
"121","Fleetside","FS7","7/30/2020","11:51","12:06","Melissa, Sidney",71.3,7.6,10.5,"Clear",20,14.4,NA,"Pond","managed","Typha, SCAC, PHAU",80,"",16,0,2.66722820658195,2.02814824729229
"122","Grizzly Ditch","GD1","7/22/2020","14:23","14:38","Melissa",78.4,8.4,12.4,"Clear",22.5,2.6,NA,"Major Ditch","managed","SCAC, Fennel, Typha, LELA",95,"none",16,41,0.955511445027436,2.12823170584927
"123","Grizzly Ditch","GD1","7/23/2020","9:39","9:54","Melissa",66.4,7.7,8.9,"Clear",20.1,2.6,NA,"Major Ditch","managed","SCAC, Fennel, Typha, LELA",95,"none",16,17,0.955511445027436,2.04122032885964
"124","Grizzly Ditch","GD1","7/24/2020","13:10","13:25","Melissa",81.5,8.2,12.3,"Clear",23.2,2.7,NA,"Major Ditch","managed","SCAC, Fennel, Typha, LELA",95,"Algae",16,42,0.993251773010283,2.10413415427021
"125","Grizzly Ditch","GD2","7/22/2020","14:46","15:01","Melissa",78.5,10.4,13.5,"Clear",22.4,5.4,NA,"Major Ditch","managed","SCAC",100,"none",14,0,1.68639895357023,2.34180580614733
"126","Grizzly Ditch","GD2","7/23/2020","11:07","11:22","Melissa",71.2,6.8,8.1,"Clear",22.4,5.4,NA,"Major Ditch","managed","SCAC",100,"none",14,0,1.68639895357023,1.91692261218206
"127","Grizzly Ditch","GD2","7/24/2020","12:49","13:04","Melissa",81,5.1,7.7,"Clear",21.7,5.4,NA,"Major Ditch","managed","SCAC",100,"none",14,0,1.68639895357023,1.62924053973028
"128","Grizzly Ditch","GD3","7/22/2020","15:12","15:27","Melissa",76.8,10.4,12.8,"Clear",25.1,5.4,NA,"Major Ditch","managed","SCAC, ROCA, OHAU, DISP, Wheat grass",80,"Algae, pipe",13,5,1.68639895357023,2.34180580614733
"129","Grizzly Ditch","GD3","7/23/2020","9:15","9:30","Melissa",66.6,6.1,9,"Clear",17.9,5.4,NA,"Major Ditch","managed","SCAC, ROCA, OHAU, DISP, Wheat grass",80,"Algae, pipe",13,0,1.68639895357023,1.80828877117927
"130","Grizzly Ditch","GD3","7/24/2020","12:25","12:41","Melissa",77.7,7.7,10.1,"Clear",22.6,5.5,NA,"Major Ditch","managed","SCAC, ROCA, OHAU, DISP, Wheat grass",80,"Algae, pipe",13,5,1.70474809223843,2.04122032885964
"131","Grizzly Ditch","GD4","7/22/2020","15:35","15:50","Melissa",77.9,7.9,13.2,"Clear",24,5.2,NA,"Major Ditch","managed","SCAC, PHAU, Typha, Fennel",100,"Algae",13,0,1.64865862558738,2.06686275947298
"132","Grizzly Ditch","GD4","7/23/2020","8:53","9:09","Melissa",63.1,7.7,14.3,"Clear",19.1,5.4,NA,"Major Ditch","managed","SCAC, PHAU, Typha, Fennel",100,"Algae",13,0,1.68639895357023,2.04122032885964
"133","Grizzly Ditch","GD4","7/24/2020","12:03","12:18","Melissa",80,7.7,9.1,"Clear",22.5,5.2,NA,"Major Ditch","managed","SCAC, PHAU, Typha, Fennel",100,"Algae",13,0,1.64865862558738,2.04122032885964
"134","Grizzly Ditch","GD5","7/22/2020","15:55","16:10","Melissa",74.8,13.2,19.7,"Clear",23.2,5.2,NA,"Major Ditch","managed","Typha, SCAC, BAPI, LELA",95,"none",14,0,1.64865862558738,2.58021682959233
"135","Grizzly Ditch","GD5","7/23/2020","8:31","8:46","Melissa",69.8,8.1,10.7,"Clear",20.1,5.2,NA,"Major Ditch","managed","Typha, SCAC, BAPI, LELA",95,"none",14,0,1.64865862558738,2.09186406167839
"136","Grizzly Ditch","GD5","7/24/2020","11:40","11:55","Melissa",78.7,9.9,12.3,"Clear",22.4,5.4,NA,"Major Ditch","managed","Typha, SCAC, BAPI, LELA",95,"none",14,0,1.68639895357023,2.29253475714054
"137","Grizzly Ranch","GR1D","6/29/2020","8:18","8:33","Melissa, Sidney",74.5,3,5.4,"Clear",19.1,4.8,NA,"Borrow Ditch","managed","SCAC, DISP",100,"none",15,0,1.56861591791385,1.09861228866811
"138","Grizzly Ranch","GR1D","6/30/2020","13:37","13:52","Melissa, Sidney",91.3,5.5,9.4,"Clear",22.8,4.9,NA,"Borrow Ditch","managed","SCAC, DISP",100,"none",15,0,1.58923520511658,1.70474809223843
"139","Grizzly Ranch","GR1D","7/1/2020","12:28","12:43","Melissa, Sidney",85.2,2.9,5.2,"Clear",23,4.9,NA,"Borrow Ditch","managed","SCAC, DISP",100,"none",15,1,1.58923520511658,1.06471073699243
"140","Grizzly Ranch","GR1P","6/29/2020","8:18","8:33","Melissa, Sidney",74.5,3,5.4,"Clear",19.3,4.4,NA,"Pond","managed","DISP",100,"algae",15,0,1.48160454092422,1.09861228866811
"141","Grizzly Ranch","GR1P","6/30/2020","13:37","13:52","Melissa, Sidney",91.3,5.5,9.4,"Clear",27.2,4.5,NA,"Pond","managed","DISP",100,"algae",15,0,1.50407739677627,1.70474809223843
"142","Grizzly Ranch","GR1P","7/1/2020","12:28","12:43","Melissa, Sidney",85.2,2.9,5.2,"Clear",27.1,4.1,NA,"Pond","managed","DISP",100,"algae",15,3,1.41098697371026,1.06471073699243
"143","Grizzly Ranch","GR2","6/29/2020","8:44","8:59","Melissa, Sidney",78,1.2,2.4,"Clear",20.3,7.8,NA,"Borrow Ditch","managed","SCAC, DISP, Ice Plant",100,"none",11,5,2.05412373369555,0.182321556793955
"144","Grizzly Ranch","GR2","6/30/2020","12:39","12:55","Melissa, Sidney",99,0.9,1.1,"Clear",22.3,8.1,NA,"Borrow Ditch","managed","SCAC, DISP, Ice Plant",100,"none",11,3,2.09186406167839,-0.105360515657826
"145","Grizzly Ranch","GR2","7/1/2020","13:28","13:43","Melissa, Sidney",88.6,0.6,5.4,"Clear",24.7,8.1,NA,"Borrow Ditch","managed","SCAC, DISP, Ice Plant",100,"none",11,3,2.09186406167839,-0.510825623765991
"146","Grizzly Ranch","GR3","6/29/2020","9:37","9:53","Melissa, Sidney",83,5.1,6.3,"Clear",21.4,4.6,NA,"Borrow Ditch","managed","Typha, SCAC",100,"none",16,4,1.52605630349505,1.62924053973028
"147","Grizzly Ranch","GR3","6/30/2020","13:08","13:23","Melissa, Sidney",93.8,2.4,4.1,"Clear",24,4.6,NA,"Borrow Ditch","managed","Typha, SCAC",100,"none",16,1,1.52605630349505,0.8754687373539
"148","Grizzly Ranch","GR3","7/1/2020","12:56","13:12","Melissa, Sidney",88.3,2.4,4.2,"Clear",22.8,4.7,NA,"Borrow Ditch","managed","Typha, SCAC",100,"none",16,3,1.54756250871601,0.8754687373539
"149","Howard's Slough","HOS1","7/12/2020","9:33","9:48","Sidney",75.8,4.9,8.7,"Clear",22.1,21.3,NA,"Major Ditch","managed","PHAU, DISP, CESO, ELPO",100,"Exposed banks and substrate",5,0,3.05870707271538,1.58923520511658
"150","Howard's Slough","HOS1","7/13/2020","11:54","12:09","Melissa",80.2,9.3,12.4,"Clear",27,21.8,NA,"Major Ditch","managed","PHAU, DISP, CESO, ELPO",100,"Exposed banks and substrate",2,0,3.08190996979504,2.23001440015921
"151","Howard's Slough","HOS1","7/14/2020","11:36","11:51","Sidney",74.3,6.6,8.8,"Clear",27,22.5,NA,"Borrow Ditch","managed","PHAU, DISP, CESO, ELPO",100,"Exposed banks and substrate",4,0,3.11351530921037,1.88706964903238
"152","Hill Slough","HS1","8/3/2020","11:52","12:07","Melissa, Sidney",91.9,3,6.6,"Clear",26.5,6.1,"LOOKUP","Minor Slough","tidal","Typha, SCAC",100,"exposed banks",9,3,1.80828877117927,1.09861228866811
"153","Hill Slough","HS1","8/4/2020","9:04","9:19","Melissa, Sidney",67.6,4,6.8,"Clear",21.3,5.7,"LOOKUP","Minor Slough","tidal","Typha, SCAC",100,"exposed banks",13,0,1.7404661748405,1.38629436111989
"154","Hill Slough","HS1","8/5/2020","11:22","11:37","Melissa, Sidney",76.7,7.3,10.4,"Partly Cloudy",24.3,5.1,"Ebb","Minor Slough","tidal","Typha, SCAC",100,"exposed banks",13,2,1.62924053973028,1.98787434815435
"155","Hill Slough","HS2","8/3/2020","12:22","12:37","Melissa, Sidney",91,2.6,3.4,"Clear",30.3,5.3,"LOOKUP","Minor Slough","tidal","",100,"exposed banks",9,0,1.66770682055808,0.955511445027436
"156","Hill Slough","HS2","8/4/2020","8:40","8:55","Melissa, Sidney",67.6,5.4,8.1,"Clear",20.9,6.4,"LOOKUP","Minor Slough","tidal","",100,"exposed banks",11,0,1.85629799036563,1.68639895357023
"157","Hill Slough","HS2","8/5/2020","10:52","11:08","Melissa, Sidney",68.5,5.2,8.9,"Partly Cloudy",22.8,5.5,"Ebb","Minor Slough","tidal","",100,"exposed banks",10,1,1.70474809223843,1.64865862558738
"158","Hill Slough","HS3","8/10/2020","12:23","12:38","Melissa, Sidney",81.4,9.5,12.5,"Clear",23.1,6.4,"LOOKUP","Minor Slough","tidal","DISP, Typha, SCAC",95,"exposed mud bank, downed tules",10,0,1.85629799036563,2.2512917986065
"159","Hill Slough","HS3","8/11/2020","14:55","15:10","Melissa, Sidney",82.7,11.9,16.5,"Clear",22.8,6.2,"LOOKUP","Minor Slough","tidal","DISP, Typha, SCAC",95,"exposed mud bank, downed tules",10,1,1.82454929205105,2.47653840011748
"160","Hill Slough","HS3","8/12/2020","13:08","13:23","Melissa, Sidney",91.4,7.8,9.6,"Clear",21.7,6.4,"LOOKUP","Minor Slough","tidal","DISP, Typha, SCAC",95,"exposed mud bank, downed tules",10,0,1.85629799036563,2.05412373369555
"161","Hill Slough","HS4A","8/10/2020","12:51","13:11","Melissa",83.7,9.2,12.4,"Clear",22.5,6.4,"LOOKUP","Tidal","tidal","PHAU, Typha",100,"platform",12,4,1.85629799036563,2.21920348405499
"162","Hill Slough","HS4A","8/11/2020","14:26","14:41","Sidney",77,11.2,14,"Clear",22.4,6.3,"LOOKUP","Tidal","tidal","BOMA, PHAU, Typha, fennel",95,"platform",12,8,1.84054963339749,2.41591377830105
"163","Hill Slough","HS4A","8/12/2020","13:57","14:12","Melissa",94.8,5.4,6.2,"Clear",23.1,6.4,"LOOKUP","Tidal","tidal","PHAU, Typha",100,"Platform",16,2,1.85629799036563,1.68639895357023
"164","Hill Slough","HS4B","8/10/2020","12:49","13:04","Sidney",83.7,9.2,12.4,"Clear",22.5,6.4,"LOOKUP","Tidal","tidal","PHAU, BOMA",100,"downe tule, algae, tule root wad",12,19,1.85629799036563,2.21920348405499
"165","Hill Slough","HS4B","8/11/2020","14:26","14:41","Melissa",77,11.2,14,"Clear",22.4,6.3,"LOOKUP","Tidal","tidal","PHAU, BOMA",100,"downe tule, algae, tule root wad",12,13,1.84054963339749,2.41591377830105
"166","Hill Slough","HS4B","8/12/2020","13:57","14:12","Sidney",94.8,5.4,6.2,"Clear",23.1,6.4,"LOOKUP","Tidal","tidal","PHAU",100,"exposed bank, algae",15,26,1.85629799036563,1.68639895357023
"167","Hill Slough","HS5","8/10/2020","13:38","13:52","Melissa, Sidney",84,7.3,10.6,"Clear",23.6,5.4,NA,"Borrow Ditch","managed","Typha, DISP",100,"none",14,5,1.68639895357023,1.98787434815435
"168","Hill Slough","HS5","8/11/2020","14:05","14:20","Melissa, Sidney",76.2,9.1,11,"Clear",22.5,6.6,NA,"Borrow Ditch","managed","Typha, DISP",100,"none",14,4,1.88706964903238,2.2082744135228
"169","Hill Slough","HS5","8/12/2020","13:35","13:49","Melissa, Sidney",85.6,4.3,7.2,"Clear",22.7,6.8,NA,"Borrow Ditch","managed","Typha, DISP",100,"none",14,7,1.91692261218206,1.45861502269952
"170","Hill Slough","HS6","8/10/2020","14:05","14:20","Melissa, Sidney",88.3,5,6.9,"Clear",21,4.1,NA,"Borrow Ditch","managed","Typha, SCAC, RASA, LELA",100,"none",13,0,1.41098697371026,1.6094379124341
"171","Hill Slough","HS6","8/11/2020","13:41","12:56","Melissa, Sidney",77,7.4,10.7,"Clear",20.9,6.4,NA,"Borrow Ditch","managed","Typha, SCAC, RASA, LELA",100,"none",13,2,1.85629799036563,2.00148000021012
"172","Hill Slough","HS6","8/14/2020","7:40","7:55","Melissa",75.7,0,0,"Partly Cloudy",22,6.4,NA,"Borrow Ditch","managed","Typha, SCAC, RASA, LELA",100,"none",13,1,1.85629799036563,-Inf
"173","Hill Slough","HS7","8/10/2020","14:26","14:41","Melissa, Sidney",85,8,12.3,"Clear",23.9,6.3,NA,"Borrow Ditch","managed","SCAM, PHAU",NA,"fallen SCAM",NA,0,1.84054963339749,2.07944154167984
"174","Hill Slough","HS7","8/11/2020","13:21","13:36","Melissa, Sidney",76.5,8.6,10.9,"Clear",21.9,6.1,NA,"Borrow Ditch","managed","SCAM, PHAU",NA,"fallen SCAM",NA,1,1.80828877117927,2.15176220325946
"175","Hill Slough","HS7","8/14/2020","7:21","7:36","Melissa",74.5,0.7,1.2,"Partly Cloudy",22,6.4,NA,"Borrow Ditch","managed","SCAM, PHAU",NA,"fallen SCAM",NA,2,1.85629799036563,-0.356674943938732
"176","Island Slough","IS1","8/3/2020","8:35","8:49","Sidney",79.3,3.3,4.3,"Clear",22.4,8,NA,"Borrow Ditch","managed","BOMA, DISP, blackberry",100,"downed tule",16,1,2.07944154167984,1.19392246847243
"177","Island Slough","IS1","8/4/2020","11:21","11:36","Sidney",91.7,2.6,5,"Clear",24.6,6,NA,"Borrow Ditch","managed","BOMA, DISP, raddish",100,"floating tule",15,7,1.79175946922805,0.955511445027436
"178","Island Slough","IS1","8/5/2020","12:08","12:23","Sidney",69,7.1,9.4,"Partly Cloudy",22.1,6.8,NA,"Borrow Ditch","managed","BOMA, DISP",100,"downed tule",17,8,1.91692261218206,1.96009478404727
"179","Island Slough","IS2","8/3/2020","8:35","8:51","Melissa, Sidney",79.3,3.3,4.3,"Clear",19.3,8.3,NA,"Pond","managed","SAPA, DISP, PHAU",100,"none",13,0,2.11625551480255,1.19392246847243
"180","Island Slough","IS2","8/4/2020","11:21","11:36","Melissa",91.7,2.6,5,"Clear",23.4,8.2,NA,"Pond","managed","SAPA, DISP, PHAU",100,"none",13,0,2.10413415427021,0.955511445027436
"181","Island Slough","IS2","8/5/2020","12:09","12:24","Melissa",69,7.1,9.4,"Clear",23,7,NA,"Pond","managed","SAPA, DISP, PHAU",100,"none",13,0,1.94591014905531,1.96009478404727
"182","Island Slough","IS3","8/3/2020","9:07","9:22","Melissa, Sidney",80.8,4.5,7.1,"Clear",21.9,8,NA,"Borrow Ditch","managed","DISP, ATPR, SAPA, SCAC",NA,"none",12,2,2.07944154167984,1.50407739677627
"183","Island Slough","IS3","8/4/2020","11:47","12:02","Melissa, Sidney",84.2,5,8,"Clear",23.1,7.9,NA,"Borrow Ditch","managed","DISP, ATPR, SAPA, SCAC",NA,"none",12,0,2.06686275947298,1.6094379124341
"184","Island Slough","IS3","8/5/2020","12:45","13:00","Melissa",75,8.3,11.5,"Clear",22,6.6,NA,"Borrow Ditch","managed","DISP, ATPR, SAPA, SCAC",NA,"none",12,0,1.88706964903238,2.11625551480255
"185","Island Slough","IS4","8/3/2020","9:32","9:48","Melissa",83.3,3.5,4.6,"Clear",20.5,8.2,NA,"Borrow Ditch","managed","ATPR, DISP, SAPA",100,"pipe",11,0,2.10413415427021,1.25276296849537
"186","Island Slough","IS4","8/4/2020","10:53","11:08","Sidney",82.6,6.5,10.9,"Clear",21.2,8.1,NA,"Borrow Ditch","managed","ATPR, DISP, SAPA",100,"pipe",11,0,2.09186406167839,1.87180217690159
"187","Island Slough","IS4","8/5/2020","13:11","13:26","Melissa, Sidney",75.6,8.5,12.5,"Clear",21.6,6.8,NA,"Borrow Ditch","managed","ATPR, DISP, SAPA",100,"pipe",11,0,1.91692261218206,2.14006616349627
"188","Island Slough","IS5","8/3/2020","9:32","9:47","Sidney",83.3,3.5,4.6,"Clear",20.5,8.1,NA,"Borrow Ditch","managed","DISP, Raddish",100,"downed tule",16,0,2.09186406167839,1.25276296849537
"189","Island Slough","IS5","8/4/2020","10:53","11:08","Melissa",82.6,6.5,10.9,"Clear",22.8,7.7,NA,"Borrow Ditch","managed","DISP, Raddish",100,"downed tule",16,0,2.04122032885964,1.87180217690159
"190","Island Slough","IS5","8/5/2020","13:11","13:26","Sidney",75.6,8.5,12.5,"Clear",22.6,6.6,NA,"Borrow Ditch","managed","DISP, Raddish",100,"downed tule",16,2,1.88706964903238,2.14006616349627
"191","Island Slough","IS6A","8/3/2020","10:10","10:25","Melissa, Sidney",87.8,3.2,4.1,"Clear",20.6,11.4,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,3,2.43361335540045,1.16315080980568
"192","Island Slough","IS6A","8/4/2020","10:08","10:23","Melissa, Sidney",79.4,2.5,3.3,"Clear",19.9,8.3,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,13,2.11625551480255,0.916290731874155
"193","Island Slough","IS6A","8/5/2020","13:59","14:14","Melissa, Sidney",77.5,7.4,11.3,"Clear",21.8,9.1,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,10,2.2082744135228,2.00148000021012
"194","Island Slough","IS6B","8/3/2020","10:10","10:25","Melissa, Sidney",87.8,3.2,4.1,"Clear",17.7,20.3,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,0,3.01062088604774,1.16315080980568
"195","Island Slough","IS6B","8/4/2020","10:08","10:23","Melissa, Sidney",79.4,2.5,3.3,"Clear",16.8,15.9,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,0,2.76631910922619,0.916290731874155
"196","Island Slough","IS6B","8/5/2020","13:59","14:14","Melissa, Sidney",77.5,7.4,11.3,"Clear",20.9,15.9,NA,"Pond","managed","Typha, PHAU, ATPR, DISP",100,"algae",10,0,2.76631910922619,2.00148000021012
"197","Island Slough","IS7","8/3/2020","10:37","10:52","Melissa, Sidney",94.1,2.5,3.4,"Clear",22.2,10,NA,"Borrow Ditch","managed","PHAU, DISP, SAPA, SCAC",100,"none",15,0,2.30258509299405,0.916290731874155
